elite,gamma,new_gamma,yty_gamma,diff,name,party,infor
1.00E+18,-0.282516423,-0.076048616,-0.080923101,0.004874485,Congresswoman Cori Bush,D,Congresswoman Cori Bush - Democrat
1004891731,0.231790023,0.023855101,0.0091381,0.014717001,Rep. Scott Fitzgerald,R,Rep. Scott Fitzgerald - Republican
1.01E+18,0.499010094,0.100320362,0.095705811,0.004614552,Wilfred Reilly,I,Wilfred Reilly - No political affiliation (Not a politician)
10153432,0.587954893,0.082154604,0.070614979,0.011539625,Mike Opelka,R,Mike Opelka - No political affiliation (Not a politician)
10168082,0.406360542,0.229118014,0.254884451,-0.025766437,Heritage Foundation,R,Heritage Foundation - Conservative Think Tank (Not a politician)
1.02E+18,0.212937811,0.042747454,0.032672761,0.010074694,"U.S. Senator Bill Cassidy, M.D.",R,"U.S. Senator Bill Cassidy, M.D. - Republican"
1.02E+18,-0.194754029,-0.046696924,-0.057237549,0.010540625,Rep. Jennifer Wexton,D,Rep. Jennifer Wexton - Democrat
1.03E+18,0.383332208,0.04786372,0.031428736,0.016434983,Rep. Tim Burchett,R,Rep. Tim Burchett - Republican
1037321378,-0.205790972,-0.065506538,-0.07519003,0.009683492,Mark Takano,D,Mark Takano - Democrat
1.04E+18,0.179109528,0.017282997,-1.26E-04,0.017408678,Congressman Troy Balderson,R,Congressman Troy Balderson - Republican
1.04E+18,0.421372397,0.051882183,0.035295492,0.016586692,Congressman Michael Cloud,R,Congressman Michael Cloud - Republican
104237736,-0.13242002,-0.057567625,-0.046880514,-0.010687111,Bloomberg,D,Bloomberg - Media Company (Not a politician)
1045110018,-0.203781657,-0.060201186,-0.069895839,0.009694654,Rep. Dan Kildee,D,Rep. Dan Kildee - Democrat
1048784496,0.240702367,0.03914003,0.022972358,0.016167672,Sen. Kevin Cramer,R,Sen. Kevin Cramer - Republican
1051127714,-0.185616416,-0.043540848,-0.053525513,0.009984664,Grace Meng,D,Grace Meng - Democrat
1051446626,0.223412591,0.035388968,0.020829506,0.014559462,Ann Wagner,R,Ann Wagner - Republican
1.05E+18,-0.205288615,-0.050334237,-0.060421592,0.010087355,Chrissy Houlahan,D,Chrissy Houlahan - Democrat
1055730738,-0.123053236,-0.033898167,-0.0455574,0.011659232,Rep. Alan Lowenthal,D,Rep. Alan Lowenthal - Democrat
1058051748,0.244501897,0.039778768,0.019802837,0.01997593,Randy Weber,R,Randy Weber - Republican
1058520120,-0.212623344,-0.216373892,-0.206738189,-0.009635703,Tammy Duckworth,D,Tammy Duckworth - Democrat
1058717720,-0.156550998,-0.025205824,-0.036814255,0.011608431,Ann McLane Kuster,D,Ann McLane Kuster - Democrat
1058917562,-0.132278369,-0.026235048,-0.038229859,0.01199481,Rep. Derek Kilmer,D,Rep. Derek Kilmer - Democrat
1.06E+18,-0.23011002,-0.058264282,-0.071540544,0.013276262,Rep. Dean Phillips 🇺🇸,D,Rep. Dean Phillips ____ - Democrat
10615232,0.337787285,0.180686684,0.207236638,-0.026549953,Chuck Grassley,R,Chuck Grassley - Republican
1.06E+18,-0.15899577,-0.021672741,-0.032284663,0.010611922,Joe Morelle,D,Joe Morelle - Democrat
1065995022,0.174442546,0.025391623,0.009427783,0.01596384,Jackie Walorski,R,Jackie Walorski - Republican
1.07E+18,-0.239045064,-0.082445538,-0.09018798,0.007742442,Congresswoman Mary Gay Scanlon,D,Congresswoman Mary Gay Scanlon - Democrat
1.07E+18,-0.169220822,-0.025999192,-0.038460736,0.012461544,Rep. Chris Pappas,D,Rep. Chris Pappas - Democrat
1.07E+18,0.327079407,0.034449033,0.013947654,0.020501379,Rep. Kevin Hern,R,Rep. Kevin Hern - Republican
1068481578,-0.127390342,-0.090623825,-0.092418196,0.001794371,Senator Angus King,D,Senator Angus King - Independent (Generally caucuses with Democrats)
1069124515,0.166697905,0.026740926,0.008569503,0.018171423,Rep. Doug LaMalfa,R,Rep. Doug LaMalfa - Republican
1.07E+18,-0.199386711,-0.028427071,-0.039334121,0.01090705,Rep. Susan Wild,D,Rep. Susan Wild - Democrat
1071102246,-0.150094405,-0.040144866,-0.051675987,0.011531121,Rep. Jared Huffman,D,Rep. Jared Huffman - Democrat
1071402577,0.124631309,0.025067479,0.018886013,0.006181465,Senator Deb Fischer,R,Senator Deb Fischer - Republican
1071840474,-0.159074074,-0.025204163,-0.038758754,0.013554591,Rep. Brad Schneider,D,Rep. Brad Schneider - Democrat
1072008757,0.348075275,0.065126215,0.050998314,0.014127902,Rep. Chris Stewart,R,Rep. Chris Stewart - Republican
1.07E+18,-0.212303845,-0.0427819,-0.05325854,0.01047664,Rep. Mike Levin,D,Rep. Mike Levin - Democrat
1.07E+18,0.408388169,0.056429072,0.04057824,0.015850832,Congressman Ben Cline,R,Congressman Ben Cline - Republican
1072467470,-0.259737456,-0.12433143,-0.130921148,0.006589718,Sean Patrick Maloney,D,Sean Patrick Maloney - Democrat
1074129612,-0.137241967,-0.036305792,-0.047055466,0.010749674,Rep. Marc Veasey,D,Rep. Marc Veasey - Democrat
107433523,0.600048017,0.122180108,0.116210603,0.005969505,Chris Barron 🇺🇸,R,Chris Barron ____ - Political commentator and strategist (Not a politician)
1074480192,0.426723943,0.346717861,0.409547838,-0.062829976,Senator Ted Cruz,R,Senator Ted Cruz - Republican
1074518754,-0.180267288,-0.08546817,-0.089785498,0.004317327,Sen. Tammy Baldwin,D,Sen. Tammy Baldwin - Democrat
1.07E+18,0.334779768,0.04026505,0.02596298,0.01430207,Rep. Dusty Johnson,R,Rep. Dusty Johnson - Republican
1.08E+18,0.297835353,0.025921683,0.012496069,0.013425614,Rep Van Taylor,R,Rep Van Taylor - Republican
1.08E+18,0.371455479,0.050051524,0.034018987,0.016032537,Bryan Steil,R,Bryan Steil - Republican
1.08E+18,-0.237691638,-0.097111057,-0.103066098,0.005955041,Rep. Veronica Escobar,D,Rep. Veronica Escobar - Democrat
1.08E+18,0.259811198,0.028761899,0.010963401,0.017798498,Pete Stauber,R,Pete Stauber - Republican
1.08E+18,-0.178883949,-0.043678265,-0.053325064,0.009646798,Rep. Lizzie Fletcher,D,Rep. Lizzie Fletcher - Democrat
1.08E+18,-0.207750645,-0.057734397,-0.065939216,0.00820482,Rep. Haley Stevens,D,Rep. Haley Stevens - Democrat
1077121945,-0.158489409,-0.043069586,-0.053553817,0.010484231,Rep. Lois Frankel,D,Rep. Lois Frankel - Democrat
1077446982,0.244610766,0.036128205,0.01760423,0.018523975,Rep. Roger Williams,R,Rep. Roger Williams - Republican
10774652,0.508677972,0.287122329,0.321607034,-0.034484705,TheBlaze,R,TheBlaze - Media company (Not a politician)
1.08E+18,-0.209789936,-0.054755828,-0.064363056,0.009607228,Rep. Colin Allred,D,Rep. Colin Allred - Democrat
1.08E+18,-0.221492041,-0.081135053,-0.090819316,0.009684264,Rep. Elissa Slotkin,D,Rep. Elissa Slotkin - Democrat
1.08E+18,-0.096760123,-0.053232629,-0.054033333,8.01E-04,Senator Mitt Romney,R,Senator Mitt Romney - Republican
